tsha1 family benchmark: f/b/x/r × 2KB/32KB/512KB（目标时长≥2s，迭代上限保护）
f	2048	7609	2	7	3804
b	2048	7292	2	7	3646
x	2048	5984	2	5	2992
r	2048	13465	2	13	6732
f	32768	1819	2	28	909
b	32768	996	2	15	498
x	32768	665	2	10	332
r	32768	2401	2	37	1200
f	524288	133	2	33	66
b	524288	67	2	16	33
x	524288	46	2	11	23
r	524288	168	2	42	84
done
